aboleth,adult black dragon,zombie,mimic,kobold,owlbear,Plantosaurus Hatchling,Young Plantosaurus,Adult Plantosaurus,Fire-tail Wyrmling,Fire-tail Young,Fire-tail Adult,Giant Chelonian,Giant Chelonian Young,Giant Chelonian Adult,Redcrest Hatchling,Young Redcrest,Redcrest Adult,Purple Dire Rat,Brown Dire Rat,Young Talonwing,Adult Talonwing,Dire Viper,Dire Constrictor,Thunder Mouse,Voltear,Sand Mouse,Sandstrike,Poison Bunny,Toxicthorn,Earthbreaker (male),Earthbreaker (female),Starwhisper,Faecharm,Flame Fox,Flame Mane,Young Lullabye,Jovialuff,Young Nightwing,Adult Nightwing,Feybloom Sprout,Young Feybloom,Adult Feybloom,Young Mushroom Crab,Adult Mushroom Crab,Purple Larve,Giant Purple Moth,Earthling,Earthling Trio,Royal Dire Kitten,Royal Dire Cat,Psionic Duckling,Psionic Duck,Pigkey,Swinkey,Firepup,Firehound,Aquasprite,Whirlstream Elemental,Torrential Elemental,Mindling,Mindmaster,Mindlord,Titanling,Titanfighter,Titanlord,Sproutling,Bellstalker,Vine Tyrant,Tendril Spawn,Tendril Horror,Pebblin,Boulderkin,Stoneward,Flamesteed,Blazecharger,Mindwanderer,Adult Mindwanderer,Magnolet,Magnocluster,Farileaf,Diovian,Triavian,Icepup,Icetusk,Sludge Horror,Toxic Mire,Shellspike,Shellguard,Ectospecter,Ectowraith,Ectophantasm,Terradrake,Young Dreamweaver,Dreamweaver,Snapclaw,Kingclaw,Volt Sphere,Electro Orb,Seedclust,Treantor,Bonecrier,Bonebreaker,Kickmaster,Fistmaster,Tonguelasher,Miasmorb,Toxflume,Rockhorn,Rhygore,Lifebringer,Tangler,Pouchbeast,Currentswimmer,Stormseeker,Swiftfin,Hornfish,Luminara,Stellara,Mimicry Mage,Bladewing,Frostwitch,Thunderbeast,Magmaduck,Clawmauler,Thunderhorn,Floundersnap,Stormwyrm,Morphling,Evoolve,Aquaflare,Voltstrike,Pyreclaw,Data Wraith,Shelldweller,Ancient Shelldweller,Trilobyte,Trilobyte Predator,Skyterror,Colosslumber,Frostwing,Thunderwing,Firewing,Young Starborne Serpent,Adult Starborne Serpent,Ancient Starborne Serpent,Mythra,Psionis,CR,HP,type
0,0,100,100,100,33,100,98,0,100,54,0,100,40,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,97,100,100,99,100,100,100,100,56,100,100,100,50,100,100,100,100,100,100,48,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,54,100,90,66,25,100,100,100,99,3,100,100,17,100,99,100,100,100,77,100,99,89,90,0,0,0,100,0,100,100,99,100,79,98,100,71,100,53,0,0,0,0,0,100,0,0,15,0,3.0,78,dragon
98,18,100,100,100,100,100,100,28,100,100,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23,73,78,29,100,100,61,100,100,9.0,204,dragon
0,0,100,10,100,0,100,0,0,47,0,0,53,0,0,100,100,100,100,100,100,100,100,29,100,66,100,98,100,100,0,0,100,100,100,1,100,69,100,95,100,100,15,100,100,100,100,100,42,100,47,100,16,100,8,100,0,100,100,3,100,100,62,100,75,0,100,97,0,100,87,100,2,0,96,1,100,0,100,26,100,100,37,95,0,100,23,100,24,100,95,0,0,100,16,100,47,100,81,100,0,99,0,0,0,72,100,12,3,0,100,4,0,99,0,100,1,98,0,42,0,0,0,0,0,0,100,0,28,100,0,1,0,4,100,0,85,0,0,0,0,0,0,0,0,0,0,0,1.0,45,aquatic beast
0,0,100,100,100,44,100,100,0,100,45,0,100,49,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,100,100,100,100,100,100,100,100,98,100,100,99,100,100,100,100,62,100,100,100,58,100,100,100,100,100,100,70,100,100,100,100,100,100,1,0,100,100,100,100,100,100,100,56,100,96,63,30,100,100,100,100,6,100,100,17,100,99,100,100,100,85,100,98,96,92,0,0,1,100,0,100,100,98,99,81,99,100,86,100,68,1,0,0,0,0,100,0,0,15,0,4.0,95,aquatic beast
2,0,100,100,100,100,100,100,0,100,100,0,100,100,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,79,67,100,100,20,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,12,0,100,12,7.0,165,aquatic beast
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,62,0,76,0,100,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,50,0,0,34,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,5,beast
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,55,0,69,0,99,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,45,0,0,13,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,7,Small Beast
0,0,90,0,100,0,100,0,0,2,0,0,0,0,0,100,100,57,100,95,100,29,99,0,100,0,100,3,100,100,0,0,100,40,100,0,100,0,100,2,100,55,0,100,65,100,90,79,0,100,0,82,0,100,0,81,0,100,85,0,100,100,0,65,0,0,100,1,0,100,1,66,0,0,5,0,12,0,79,0,16,100,0,10,0,66,0,95,1,99,15,0,0,88,0,80,0,100,0,96,0,16,0,0,0,3,96,0,0,0,9,0,0,38,0,99,0,24,0,0,0,0,0,0,0,0,100,0,0,93,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,beast
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0,57,0,99,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,28,0,0,7,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,5,Tiny Beast
0,0,31,0,100,0,70,0,0,0,0,0,0,0,0,100,100,2,100,51,100,0,85,0,97,0,100,0,100,89,0,0,95,0,100,0,99,0,100,0,100,0,0,98,2,100,16,10,0,91,0,2,0,100,0,4,0,100,9,0,100,62,0,1,0,0,100,0,0,98,0,2,0,0,0,0,0,0,14,0,0,95,0,0,0,1,0,38,0,100,0,0,0,16,0,7,0,70,0,63,0,0,0,0,0,0,88,0,0,0,0,0,0,3,0,95,0,1,0,0,0,0,0,0,0,0,100,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,39,Small Beast
